crop,crop_variety,ideal_soak_seed_oz_per_flat,ideal_treatment_days,ideal_sew_seed_oz_per_flat,ideal_propagation_days,ideal_system_days,ideal_post_treatment_dth,ideal_total_dth,ideal_yield_per_flat_oz,sale_price_per_oz,sale_price_per_8oz,sale_price_per_16oz,sale_price_per_live_flat,avg_propagation_days,avg_system_days,avg_post_treatment_dth,avg_total_dth,avg_yield_per_flat_oz,avg_soak_seed_oz_per_flat,avg_treatment_days,avg_sew_seed_oz_per_flat
amaranth,red stripe leaf,0.00,0.00,0.25,5.00,42.00,47.00,47.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
arugula,eruca sativa,0.00,0.00,0.30,3.00,14.00,17.00,17.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
basil,dark opal,0.00,0.00,0.10,5.00,35.00,40.00,40.00,4.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
basil,genovese,0.00,0.00,0.10,5.00,35.00,40.00,40.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
beet,detroit dark red,1.80,7.00,3.00,7.00,28.00,35.00,42.00,2.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
beet,bull's blood,1.80,7.00,3.00,7.00,28.00,35.00,42.00,2.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
benitade,japanese waterpepper,0.38,7.00,0.70,5.00,35.00,40.00,47.00,4.00,$9.00,$58.00,$78.00,$60.00,,,,,,,,
broccoli,waltham,0.00,0.00,0.50,3.00,14.00,17.00,17.00,8.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
bunching onion,nebuka,0.00,0.00,0.80,3.00,21.00,24.00,24.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
cabbage,red acre,0.00,0.00,0.50,3.00,14.00,17.00,17.00,8.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
celery,dark green,0.00,0.00,0.30,10.00,28.00,38.00,38.00,2.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
celery,light green,0.00,0.00,0.30,10.00,28.00,38.00,38.00,2.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
chervil,curled,0.00,0.00,1.00,3.00,21.00,24.00,24.00,8.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
chive,allium schoenoprasum,0.00,0.00,0.80,3.00,21.00,24.00,24.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
cilantro,coriander halves leisure,1.50,7.00,3.30,5.00,17.00,22.00,29.00,5.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
collard greens,georgia southern,0.00,0.00,0.50,3.00,12.00,15.00,15.00,8.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
corn,yellow popcorn,8.00,4.00,14.00,3.00,14.00,17.00,21.00,7.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
cress,curled,0.00,0.00,0.30,3.00,21.00,24.00,24.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
kale,red russian,0.00,0.00,0.50,3.00,14.00,17.00,17.00,8.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
kohlrabi,purple vienna,0.00,0.00,0.50,3.00,21.00,24.00,24.00,8.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
leek,american flag,0.00,0.00,0.80,3.00,21.00,24.00,24.00,4.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
mustard,mizuna,0.00,0.00,0.50,5.00,21.00,26.00,26.00,5.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
mustard,wasabi,0.00,0.00,0.50,5.00,21.00,26.00,26.00,5.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
nasturtium,jewel mix,4.00,4.00,8.00,5.00,7.00,12.00,16.00,5.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
parsley,italian dark green,0.00,0.00,0.40,10.00,35.00,45.00,45.00,4.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
pea,dwarf grey sugar,6.00,3.00,12.00,3.00,14.00,17.00,20.00,11.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
radish,daikon,0.00,0.00,0.80,3.00,14.00,17.00,17.00,9.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
radish,purple sango,0.00,0.00,0.80,3.00,14.00,17.00,17.00,9.00,$6.00,$39.00,$78.00,$41.00,,,,,,,,
shiso,aka red perilla,0.30,7.00,0.50,7.00,35.00,42.00,49.00,3.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
shiso,korean perilla,0.30,7.00,0.50,7.00,35.00,42.00,49.00,3.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
shiso,red perilla,0.30,7.00,0.50,7.00,35.00,42.00,49.00,3.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
shiso,ao green,0.30,5.00,0.50,7.00,35.00,42.00,47.00,3.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
sorrel,red veined,0.00,0.00,0.20,7.00,28.00,35.00,35.00,2.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
sunflower,black oil,3.00,3.00,6.00,3.00,10.00,13.00,16.00,8.00,$5.00,$32.00,$78.00,$34.00,,,,,,,,
swiss chard,ruby red,1.80,7.00,3.00,7.00,28.00,35.00,42.00,5.00,$8.00,$52.00,$78.00,$54.00,,,,,,,,
tarragon,russian,0.00,0.00,0.10,5.00,28.00,33.00,33.00,2.00,$7.00,$45.00,$78.00,$47.00,,,,,,,,
