id,date mixed,reservoir,rez_id,reservoir size (g),reservir size (L),system,reservoir fill volume (g),reservoir fill volume (L),top-up or full reset,ingredient 1,ingredient 1 quantity (ml),ingredient 2,ingredient 2 quantity (ml),ingredient 3,ingredient 3 quantity (ml),ingredient 4,ingredient 4 quantity (ml),ingredient 5,ingredient 5 quantity (ml),ingredient 6,ingredient 6 quantity (ml),ingredient 7,ingredient 7 quantity,ingredient 8,ingredient 8 quantity,ingredient 9,ingredient 9 quantity,ingredient 10,ingredient 10 quantity
1,3/19/2018,Young Seyward,,27,103,Sue + David Racks,22,84,top-up,vinegar,60,hydrogen peroxide,60,flora gro,120,flora micro,120,flora bloom,120,rock supercharge,80,,,,,,,,
2,3/20/2018,Young Lucius,,12,46,N/A - Germination,8,31,full reset,vinegar,30,hydrogen peroxide,30,flora gro,15,flora micro,12,flora bloom,10,rock supercharge,20,,,,,,,,
3,3/20/2018,Young Cato,,27,103,Dumbo,25,95,full reset,vinegar,90,hydrogen peroxide,90,flora gro,376,flora micro,250,flora bloom,125,rock supercharge,100,,,,,,,,
4,3/27/2018,Young Seyward,,27,103,Sue + David Racks,15,57,top-up,vinegar,60,hydrogen peroxide,60,flora gro,75,flora micro,75,flora bloom,75,rock supercharge,60,,,,,,,,
5,3/27/2018,Young Lucius,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,24,,,,,,,,
6,4/3/2018,Mayor of York,,27,103,Sue + David Racks,25,95,,vinegar,90,hydrogen peroxide,60,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
7,4/3/2018,Wooer,,27,103,Dumbo,25,95,,vinegar,90,hydrogen peroxide,60,flora gro,375,flora micro,255,flora bloom,125,rock supercharge,30,,,,,,,,
8,4/3/2018,Young Lucius,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,15,flora micro,15,flora bloom,15,rock supercharge,30,,,,,,,,
9,4/13/2018,Mayor of York,,27,103,Sue + David Racks,20,76,,vinegar,90,hydrogen peroxide,90,flora gro,100,flora micro,100,flora bloom,100,,,,,,,,,,
10,4/13/2018,Young Lucius,,12,46,N/A - Germination,5,19,full reset,vinegar,60,hydrogen peroxide,30,flora gro,12,flora micro,10,flora bloom,10,,,,,,,,,,
