id,started_date,crop,crop_variety,seed_brand,medium,format,seed_weight_oz,seed_media_treatment_notes,first_emerge_date,full_emerge_date,emergence_notes,date_of_first_transplant,date_of_second_transplant,harvested_on,harvest_weight_oz,hrvst_wt_lbs,harvest_week,harvest_notes,created_at,updated_at,flat_id,date_of_third_transplant,former_flat_id,seed_treatments_id,days_to_harvest_from_sew,days_to_harvest_from_soak,room_id,current_system_id,exclude_from_freshlist,force_onto_freshlist,sewn_for
1528,2018-11-09,cilantro,coriander halves leisure,kitazawa seed co,biostrate felt,matt,3.3,"",2018-11-01,2018-11-05,"",,,2018-11-20,1.19,0.074375,47,"",2018-11-09 13:15:31 -0800,2018-11-19 20:59:33 -0800,,,BARKLEY,94,11,23,1,,,,
7,2018-01-18,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-19,2018-01-21,"",2018-01-29,2018-02-01,2018-10-05,7.62,0.47625,40,"",2018-01-18 09:57:36 -0800,2018-10-05 09:38:26 -0700,,2018-02-12,,,,,1,,,,
15,2018-01-22,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-07,2018-10-05,9.09,0.568125,40,"",2018-01-22 14:46:21 -0800,2018-10-05 09:38:26 -0700,,2018-02-09,,,,,1,,,,
4,2018-01-17,kale,red russian,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-18,2018-01-19,"",2018-01-29,2018-02-01,2018-10-05,12.39,0.774375,40,DONE,2018-01-17 20:26:28 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
3,2018-01-17,kale,red russian,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-18,2018-01-19,"",2018-01-29,2018-02-01,2018-10-05,11.11,0.694375,40,DONE,2018-01-17 20:25:52 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
24,2018-01-10,kale,red russian,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-11,2018-01-12,"",2018-01-15,2018-01-19,2018-10-05,11.33,0.708125,40,DONE,2018-01-22 15:22:22 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
12,2018-01-22,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-07,2018-10-05,7.06,0.44125,40,"",2018-01-22 14:25:56 -0800,2018-10-05 09:38:26 -0700,,2018-02-09,,,,,1,,,,
203,2018-03-25,radish,daikon,handy pantry seeds & grain,biostrate felt,matt,0.6,no treatment. soakd matts in nutsol from Young Seaward. holes in germ dome. ,2018-03-26,2018-03-27,"",2018-03-28,2018-03-30,2018-10-05,8.91,0.556875,40,formerly flat # SLAW | ,2018-03-25 14:55:10 -0700,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
13,2018-01-22,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-07,2018-10-05,7.76,0.485,40,"",2018-01-22 14:30:27 -0800,2018-10-05 09:38:26 -0700,,2018-02-09,,,,,1,,,,
22,2018-01-09,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.6,no treatment,2018-01-10,2018-01-11,"",2018-01-14,2018-01-19,2018-10-05,10.44,0.6525,40,DONE,2018-01-22 15:20:05 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
25,2018-01-10,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-11,2018-01-12,"",2018-01-14,2018-01-19,2018-10-05,8.69,0.543125,40,DONE,2018-01-22 15:23:16 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
17,2018-01-22,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-02,2018-10-05,6.44,0.4025,40,"",2018-01-22 14:50:59 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
