sewn,first transplant,second transplant,harvest date
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
,,,
3/1/2018,3/6/2018,3/11/2018,3/16/2018
3/1/2018,3/6/2018,3/11/2018,3/16/2018
3/1/2018,3/6/2018,3/11/2018,3/16/2018
3/1/2018,3/6/2018,3/11/2018,3/16/2018
,,,
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
,,,
3/8/2018,3/13/2018,3/18/2018,3/23/2018
3/8/2018,3/13/2018,3/18/2018,3/23/2018
3/8/2018,3/13/2018,3/18/2018,3/23/2018
3/8/2018,3/13/2018,3/18/2018,3/23/2018
,,,
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
,,,
3/15/2018,3/20/2018,3/25/2018,3/30/2018
3/15/2018,3/20/2018,3/25/2018,3/30/2018
3/15/2018,3/20/2018,3/25/2018,3/30/2018
3/15/2018,3/20/2018,3/25/2018,3/30/2018
,,,
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
,,,
3/22/2018,3/27/2018,4/1/2018,4/6/2018
3/22/2018,3/27/2018,4/1/2018,4/6/2018
3/22/2018,3/27/2018,4/1/2018,4/6/2018
3/22/2018,3/27/2018,4/1/2018,4/6/2018
,,,
3/26/2018,3/31/2018,4/5/2018,4/10/2018
3/26/2018,3/31/2018,4/5/2018,4/10/2018
3/26/2018,3/31/2018,4/5/2018,4/10/2018
3/26/2018,3/31/2018,4/5/2018,4/10/2018
,,,
3/29/2018,4/3/2018,4/8/2018,4/13/2018
3/29/2018,4/3/2018,4/8/2018,4/13/2018
3/29/2018,4/3/2018,4/8/2018,4/13/2018
3/29/2018,4/3/2018,4/8/2018,4/13/2018
