sewn,first transplant,second transplant,harvest date
,,,
,,,
,,,
,,,
,,,
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
2/26/2018,3/3/2018,3/8/2018,3/13/2018
,,,
2/27/2018,3/4/2018,3/9/2018,3/14/2018
2/27/2018,3/4/2018,3/9/2018,3/14/2018
,,,
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
3/2/2018,3/7/2018,3/12/2018,3/17/2018
,,,
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
3/5/2018,3/10/2018,3/15/2018,3/20/2018
,,,
3/6/2018,3/11/2018,3/16/2018,3/21/2018
3/6/2018,3/11/2018,3/16/2018,3/21/2018
3/6/2018,3/11/2018,3/16/2018,3/21/2018
3/6/2018,3/11/2018,3/16/2018,3/21/2018
,,,
3/7/2018,3/12/2018,3/17/2018,3/22/2018
3/7/2018,3/12/2018,3/17/2018,3/22/2018
3/7/2018,3/12/2018,3/17/2018,3/22/2018
3/7/2018,3/12/2018,3/17/2018,3/22/2018
,,,
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
3/12/2018,3/17/2018,3/22/2018,3/27/2018
,,,
3/16/2018,3/21/2018,3/26/2018,3/31/2018
3/16/2018,3/21/2018,3/26/2018,3/31/2018
3/16/2018,3/21/2018,3/26/2018,3/31/2018
3/16/2018,3/21/2018,3/26/2018,3/31/2018
3/16/2018,3/21/2018,3/26/2018,3/31/2018
3/16/2018,3/21/2018,3/26/2018,3/31/2018
,,,
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
3/19/2018,3/24/2018,3/29/2018,4/3/2018
,,,
